"name","clone_url","open_issues","url"
"new-compuer-initializor","https://github.com/byuitechops/new-compuer-initializor.git",2,"https://github.com/byuitechops/new-compuer-initializor"
"d2l-hacker","https://github.com/byuitechops/d2l-hacker.git",0,"https://github.com/byuitechops/d2l-hacker"
"digging-deeper-videos-fix","https://github.com/byuitechops/digging-deeper-videos-fix.git",0,"https://github.com/byuitechops/digging-deeper-videos-fix"
"example-project","https://github.com/byuitechops/example-project.git",3,"https://github.com/byuitechops/example-project"
"planet-simulator-v2","https://github.com/byuitechops/planet-simulator-v2.git",11,"https://github.com/byuitechops/planet-simulator-v2"
"get-data-from-canvas","https://github.com/byuitechops/get-data-from-canvas.git",1,"https://github.com/byuitechops/get-data-from-canvas"
"learnosity-to-qti","https://github.com/byuitechops/learnosity-to-qti.git",0,"https://github.com/byuitechops/learnosity-to-qti"
"english-eci-pdf-to-html","https://github.com/byuitechops/english-eci-pdf-to-html.git",0,"https://github.com/byuitechops/english-eci-pdf-to-html"
"canvas-api-wrapper","https://github.com/byuitechops/canvas-api-wrapper.git",12,"https://github.com/byuitechops/canvas-api-wrapper"
"harvard-nightmare","https://github.com/byuitechops/harvard-nightmare.git",0,"https://github.com/byuitechops/harvard-nightmare"
"d2l-tinder","https://github.com/byuitechops/d2l-tinder.git",0,"https://github.com/byuitechops/d2l-tinder"
"get-d2l-course-html-pages","https://github.com/byuitechops/get-d2l-course-html-pages.git",2,"https://github.com/byuitechops/get-d2l-course-html-pages"
"get-canvas-quizzes","https://github.com/byuitechops/get-canvas-quizzes.git",0,"https://github.com/byuitechops/get-canvas-quizzes"
"canvas-pagination","https://github.com/byuitechops/canvas-pagination.git",2,"https://github.com/byuitechops/canvas-pagination"
"delete-reflection-quiz-questions","https://github.com/byuitechops/delete-reflection-quiz-questions.git",0,"https://github.com/byuitechops/delete-reflection-quiz-questions"
"d2l-broken-links","https://github.com/byuitechops/d2l-broken-links.git",0,"https://github.com/byuitechops/d2l-broken-links"
"canvas-web-features","https://github.com/byuitechops/canvas-web-features.git",0,"https://github.com/byuitechops/canvas-web-features"
"d2l-cavnas-quicklinks-fixer","https://github.com/byuitechops/d2l-cavnas-quicklinks-fixer.git",4,"https://github.com/byuitechops/d2l-cavnas-quicklinks-fixer"
"d2l-export-scraper","https://github.com/byuitechops/d2l-export-scraper.git",0,"https://github.com/byuitechops/d2l-export-scraper"
"content_editor_v1","https://github.com/byuitechops/content_editor_v1.git",0,"https://github.com/byuitechops/content_editor_v1"
"maintenance-log","https://github.com/byuitechops/maintenance-log.git",0,"https://github.com/byuitechops/maintenance-log"
"upload-course-to-canvas","https://github.com/byuitechops/upload-course-to-canvas.git",0,"https://github.com/byuitechops/upload-course-to-canvas"
"canvas-pagesandfiles","https://github.com/byuitechops/canvas-pagesandfiles.git",1,"https://github.com/byuitechops/canvas-pagesandfiles"
"copy-publish-settings","https://github.com/byuitechops/copy-publish-settings.git",0,"https://github.com/byuitechops/copy-publish-settings"
"english-connect-novice","https://github.com/byuitechops/english-connect-novice.git",1,"https://github.com/byuitechops/english-connect-novice"
"content_editor_v2","https://github.com/byuitechops/content_editor_v2.git",0,"https://github.com/byuitechops/content_editor_v2"
"get-trello-cards","https://github.com/byuitechops/get-trello-cards.git",0,"https://github.com/byuitechops/get-trello-cards"
"byuitechops.github.io","https://github.com/byuitechops/byuitechops.github.io.git",0,"https://github.com/byuitechops/byuitechops.github.io"
"d2l-turnitin-finder","https://github.com/byuitechops/d2l-turnitin-finder.git",0,"https://github.com/byuitechops/d2l-turnitin-finder"
"EC3-POC2","https://github.com/byuitechops/EC3-POC2.git",7,"https://github.com/byuitechops/EC3-POC2"
"imageRetrieverData-toCSV","https://github.com/byuitechops/imageRetrieverData-toCSV.git",0,"https://github.com/byuitechops/imageRetrieverData-toCSV"
"d2l-webdav-file-finder","https://github.com/byuitechops/d2l-webdav-file-finder.git",0,"https://github.com/byuitechops/d2l-webdav-file-finder"
"check_for_buttons","https://github.com/byuitechops/check_for_buttons.git",0,"https://github.com/byuitechops/check_for_buttons"
"web-file-finder","https://github.com/byuitechops/web-file-finder.git",0,"https://github.com/byuitechops/web-file-finder"
"d2l-pages-search","https://github.com/byuitechops/d2l-pages-search.git",2,"https://github.com/byuitechops/d2l-pages-search"
"add-student-phones-to-pathway","https://github.com/byuitechops/add-student-phones-to-pathway.git",1,"https://github.com/byuitechops/add-student-phones-to-pathway"
"gradebook-feedback-extension","https://github.com/byuitechops/gradebook-feedback-extension.git",0,"https://github.com/byuitechops/gradebook-feedback-extension"
"edit-files-extension","https://github.com/byuitechops/edit-files-extension.git",0,"https://github.com/byuitechops/edit-files-extension"
"video-gui","https://github.com/byuitechops/video-gui.git",1,"https://github.com/byuitechops/video-gui"
"encoding-fixer","https://github.com/byuitechops/encoding-fixer.git",0,"https://github.com/byuitechops/encoding-fixer"
"csv-editor","https://github.com/byuitechops/csv-editor.git",0,"https://github.com/byuitechops/csv-editor"
"course-list-generator-api","https://github.com/byuitechops/course-list-generator-api.git",1,"https://github.com/byuitechops/course-list-generator-api"
"d2l-to-canvas-conversion-tool","https://github.com/byuitechops/d2l-to-canvas-conversion-tool.git",94,"https://github.com/byuitechops/d2l-to-canvas-conversion-tool"
"byui-content-lti","https://github.com/byuitechops/byui-content-lti.git",0,"https://github.com/byuitechops/byui-content-lti"
"repeat-timer","https://github.com/byuitechops/repeat-timer.git",2,"https://github.com/byuitechops/repeat-timer"
"d2l-course-downloader","https://github.com/byuitechops/d2l-course-downloader.git",2,"https://github.com/byuitechops/d2l-course-downloader"
"canvas-wrapper","https://github.com/byuitechops/canvas-wrapper.git",0,"https://github.com/byuitechops/canvas-wrapper"
"set-syllabus","https://github.com/byuitechops/set-syllabus.git",2,"https://github.com/byuitechops/set-syllabus"
"byui-design-lti","https://github.com/byuitechops/byui-design-lti.git",5,"https://github.com/byuitechops/byui-design-lti"
